Company Name,Website,Phone,Industry,Company Size,HQ,Type,Founded,Location,Latitude,Longitude,Specialities
Australian Global Entertainment,http://www.austentertainment.com.au,,Entertainment,11-50 employees,,Public Company,1996,"Sydney,   AU",-33.868633,151.209421, 
Modern Day Entertainment,http://www.moderndayent.com,,Entertainment,2-10 employees,,Partnership,2018,"Perth - Melbourne,   AU",-31.960773,115.834088, 
Stan.,http://www.stan.com.au,,Entertainment,51-200 employees,"Sydney, NSW",Privately Held,2014,"Level 20, 321 Kent Street, Sydney, NSW 2000, AU",-33.867557,151.203964,"Entertainment, Streaming media, SVOD, and Original content"
Studio 100 Benelux,http://www.studio100.tv,,Entertainment,"501-1,000 employees",,Privately Held,1996, , , ,entertainment TV theatre audio theme parks merchandising publishing
Barbizon Lighting Company,http://www.barbizon.com,,Entertainment,201-500 employees,,Privately Held,1947, , , ,"Sales, Systems Integration, Technical Services, Entertainment Lighting, Entertainment Rigging, and Architectural Lighting & Controls"
OMG Gaming and Entertainment,http://www.OMGgaming.com.au,,Entertainment,11-50 employees,,Public Company,,"Sydney,   AU",-33.868633,151.209421, 
Entain,http://EntainCareers.com,,Entertainment,"10,001+ employees",,Public Company,, , , ,"Online Gaming, Gambling, Sports Betting, Poker, Bingo, Casino, Digital, Technology, Customer Service, CRM, Online, Digital Games, Business Intelligence, .NET, HTML5, CSS, and Retail"
Endemol Shine Australia,http://www.endemolshine.com.au,,Entertainment,"501-1,000 employees","McMahons Point, NSW",Public Company,2010,"42-44 Victoria Street, McMahons Point, NSW 2060, AU",-33.843079,151.203599,"Television, Production, Post Production, Drama, and Entertainment"
Tabcorp,http://www.tabcorp.com.au,,Entertainment,"1,001-5,000 employees","Melbourne, Victoria",Public Company,,"727 Collins Street, Melbourne, Victoria 3008, AU",-37.825071,144.978682,"Gaming, Wagering, Media, Television, and Lotteries"
Chaos Music,https://www.chaosmusic.org,+54 11 6401 6493,Entertainment,"5,001-10,000 employees",,Privately Held,2005, , , ,"entertainment, music, consulting, digital media, social media, beatmaking, songwriting, operations, networking, and finances"
Village Roadshow,http://www.villageroadshow.com.au/,,Entertainment,"1,001-5,000 employees","South Yarra, Victoria",Public Company,1954,"500 Chapel Street, South Yarra, Victoria 3141, AU", , , 
Live Nation Australasia,https://www.livenation.com.au/,,Entertainment,51-200 employees,"CREMORNE, VIC",Public Company,2010,"L1 11 NEWTON ST, CREMORNE, VIC 3121, AU", , ,"Entertainment, Live Music, Comedy, Live Entertainment, Touring, Brand Experience, Fan Experience, Marketing, and Event Management"
Australian Radio Network,http://www.arn.com.au,,Entertainment,201-500 employees,"North Ryde, New South Wales",Privately Held,, ,-30.512014,151.657885,"Radio Content & Advertising, Online Content & Advetising, Mobile Applications & Advertising, and Multimedia Content Creation."
Marvel Stadium,http://www.marvelstadium.com.au,,Entertainment,"1,001-5,000 employees","Docklands, Victoria",Privately Held,2000,"740 Bourke St, Docklands, Victoria 3008, AU",-37.818249,144.948515,"sports and entertainment, concerts, functions and events, 24 hour car park, and Corporate Memberships"
Fed Square,http://www.fedsquare.com,,Entertainment,11-50 employees,"Melbourne, VIC",Privately Held,2002,"Cnr Flinders & Swanston Streets, Melbourne, VIC 3000, AU", , ,"tourism, food & beverage, galleries & exhibition space, venue hire, entertainment, place-making, civic & cultural development, community management, sustainability, and accessibility"
Mr Boyd - Creative Direction & Entertainment,http://mrboyd.global,,Entertainment,2-10 employees,"Darlinghurst, NSW",,,"Level 3, 21 Oxford Street, Darlinghurst, NSW 2010, AU",-33.878132,151.219439,"dance, entertainment, choreography, creative direction, fashion, styling, events, performance, model direction, runway direction, lighting , and music"
Magician Perth - Elegant Event Entertainment,http://www.chewengchye.com,,Entertainment,0-1 employees,"Perth, Western Australia",Self-Employed,2000,"Perth, Perth, Western Australia 6000, AU",-31.952477,115.859851, 
Life's Mirror Entertainment,http://www.lifesmirror.com,,Entertainment,2-10 employees,,Privately Held,,"Suite 1155, 811 South Dowling St,, WATERLOO, NSW, AUSTRALIA, Sydney, Perth, Los Angeles,  2010, AU", , , 
HOYTS Group,http://www.hoyts.com.au,,Entertainment,"1,001-5,000 employees","Sydney, NSW",Privately Held,1909, ,-38.14368,145.123185, 
Inspired Entertainment,http://www.pvbs.com.au/,,Entertainment,2-10 employees,,Partnership,,"3131, AU", , , 
Yabadoo Kids Entertainment,http://www.yabadoo.com.au,,Entertainment,2-10 employees,"Maroubra, New South Wales",Sole Proprietorship,,"Malabar Rd, Maroubra, New South Wales 2035, AU",-33.944809,151.245905, 
Just Joy Entertainment,http://www.justjoyentertainment.com,,Entertainment,2-10 employees,"Gold Coast, QLD",Self-Employed,2013, ,-27.988802,153.336638, 
Helix Leisure,http://www.helixleisure.com,,Entertainment,201-500 employees,"Perth, Western Australia",Privately Held,1958, ,-33.884031,151.204169,"Video Game Arcades, Water Parks, Ski Resorts, Electronic Lockers, Revenue Management, and Arcade Games"
Neoapocalyptica Music & Entertainment,http://www.neoapocalyptica.com.au,,Entertainment,2-10 employees,,Privately Held,,"4000, AU",-27.465014,153.023396, 
Phantos Entertainment Lighting,http://www.phantos.com.au,,Entertainment,2-10 employees,"Auburn, NSW",Privately Held,2009,"45/7-9 Percy St, Auburn, NSW 2144, AU",-33.852402,151.027322, 
Danca Brazil Entertainment,http://www.dancabrazil.com.au,410448815,Entertainment,2-10 employees,"Thebarton, South Australia",Self-Employed,2008,"37 Walsh St, Thebarton, South Australia 5031, AU",-34.912441,138.575984, 
First Dance Entertainment,http://www.FirstDanceEntertainment.com,,Entertainment,2-10 employees,"Melbourne, VIC",Self-Employed,2020,"Melbourne, VIC  AU", , ,"DJ Hire, Wedding DJ, Party DJ, Formal DJ, MC Services, and Lighting Services"
WebTVAsia,http://www.webtvasia.com,,Entertainment,51-200 employees,,Privately Held,2014, , , , 
Ghostly Games Entertainment,https://www.ghostlygames.com.au/,,Entertainment,2-10 employees,"Hemmant, Queensland",Privately Held,2017,"68 Bremen St, Hemmant, Queensland 4174, AU",-27.456124,153.140059,"Video Game Truck Hire, Laser Tag, DJ Service, Mobile Game Theatre hire, Vacation Care Services, Church Events, and School Fundraising"
Capital Entertainment,http://www.capitalentertainment.com.au,,Entertainment,2-10 employees,,Privately Held,,"Melbourne,   AU",-37.825071,144.978682, 
Making Box Entertainment,https://makingboxentertainment.com.au/,,Entertainment,0-1 employees,"Adelaide, South Australia",Self-Employed,,"Adelaide, South Australia 5000, AU",-34.929036,138.600473, 
FRANCHISE ENTERTAINMENT GROUP PTY LTD,http://www.fegroup.com.au,,Entertainment,11-50 employees,"RHODES, NSW",,, , , , 
Jessie O's Entertainment ,https://www.jessieosentertainment.com.au/,,Entertainment, ,"Melbourne, Victoria",,,"Victoria St, Melbourne, Victoria 3053, AU",-37.825071,144.978682, 
Optus Stadium,https://optusstadium.com.au/venue-hire-perth,1300 297 588,Entertainment,"1,001-5,000 employees","Burswood, Western Australia",Public Company,2018,"333 Victoria Park Dr, Burswood, Western Australia 6100, AU",-31.951042,115.888576,"Venue Hire, Function Spaces, Optus Stadium Tours, AFL, Cricket, Corporate Hospitality, Events, Private Events, Entertainment, Concert Venue, Major Events, and Sport"
Kayo Sports,http://www.kayosports.com.au,,Entertainment,51-200 employees,"Artarmon, New South Wales",Privately Held,2018,"Broadcast Way, Artarmon, New South Wales 2064, AU",-33.8113,151.18605, 
Laughter House Entertainment,http://www.laughterhouseentertainment.com,0403 817 549,Entertainment,2-10 employees,"Kiama, NSW",Privately Held,,"Kiama, NSW 2533, AU",-34.671698,150.849093, 
DJ PeterD Entertainment Plus,http://djpeterd.com.au,,Entertainment,2-10 employees,"Hastings, Victoria",Self-Employed,2008,"12 Natalie Court, Hastings, Victoria 3915, AU",-38.301415,145.180297, 
Nitezone Entertainment and Production Services,http://www.nitezone.com.au,,Entertainment,11-50 employees,"Sydney, NSW",Public Company,1992, , , ,"Event Production, Audio Services, Audiovisual Hire equipment, Lighting, Nightclub Services, and Rigging and Truss Structures"
Groovy Face Entertainment,http://www.groovyface.com.au,,Entertainment,2-10 employees,"Melbourne, Victoria",Self-Employed,2019,"Melbourne, Victoria 3030, AU",-37.825071,144.978682, 
Smart Arts Entertainment,http://www.smartartsentertainment.com/,432322274,Entertainment,2-10 employees,"Melbourne, Victoria",Partnership,,"Melbourne, Victoria 3088, AU",-37.825071,144.978682, 
El Faro Entertainment, ,,Entertainment,2-10 employees,"Ultimo, New South Wales",Self-Employed,2018,"330 Wattle St, Ultimo, New South Wales 2007, AU",-33.879288,151.196231,"film production, short films, feature films, advertising, commercial videos, Institutional, Publicity, Music Videos, Web Series, Television, and Cinema"
Evolve DJ Entertainment,http://www.djroyce.com.au,,Entertainment,2-10 employees,"Canberra, ACT",Sole Proprietorship,2011,"Canberra, ACT 2601, AU",-35.29885,149.127306,"event consulting, dj services, dj, performance lessons, clubs, weddings, events, sound system, and lightshow"
Teddy Kim Entertainment,http://teddykimentertainment.com/,,Entertainment,2-10 employees,"Sydney, NSW",Public Company,2019,"Level 17, 9 Castlereagh st, Sydney, NSW 2000, AU",-33.866665,151.209534, 
Haze Music Entertainment Consultants,http://www.hazemusic.com.au,421012313,Entertainment,0-1 employees,"Ocean Grove , Victoria",Self-Employed,1977,"Ocean Grove , Victoria 3226, AU", , , 
Sass Dance & Entertainment ,http://www.sass-studios.com,,Entertainment,51-200 employees,"Sydney , NSW",,,"Edward Street, Sydney , NSW 2026 , AU",-33.868633,151.209421,"dance, dancers, event staff, promotional models, models, events, sports, and natinowide"
Event Cinemas,http://www.eventcinemas.com,,Entertainment,"1,001-5,000 employees","Sydney, New South Wales",Public Company,1910,"478 George St, Sydney, New South Wales 2000, AU",-33.87159,151.207386, 
Lucky Boy Entertainment,http://www.luckyboyentertainment.com.au,439175447,Entertainment,11-50 employees,"Melbourne, Victoria",Privately Held,2019,"Melbourne, Victoria  AU",-37.825071,144.978682, 
Up Town Entertainment Pty Ltd,https://www.uptown.net.au,0418 540 870,Entertainment,2-10 employees,"Woolner, Northern Territory",Privately Held,2003,"12 Charlton Ct, Woolner, Northern Territory 0820, AU",-12.431563,130.8589, 
Gardens Of Eden Entertainment , ,,Entertainment,2-10 employees,"Melbourne, VIC",Privately Held,2005,"clinch Ave, Melbourne, VIC 3072, AU",-37.825071,144.978682, 
Screaming Suzie Entertainment,http://www.screamingsuzie.com.au,,Entertainment,2-10 employees,"Sydney, NSW",Privately Held,2013,"CBD, Sydney, NSW 2000, AU",-33.868125,151.207973, 
Melbourne & Olympic Parks,http://www.mopt.com.au,,Entertainment,"1,001-5,000 employees","Melbourne, VIC",,1995,"Olympic Boulevard, Melbourne, VIC 3000, AU",-37.825071,144.978682, 
Zero Latency VR,https://www.zerolatencyvr.com/commercial,,Entertainment,51-200 employees,"Abbotsford, Victoria",Privately Held,2014, , , ,"Virtual Reality, Video Games, Software Development, Computer Hardware, Video Game Development, Video Game Production, Video Game Marketing, Video Game Design, Level Design, Programming, Online Programming, Transmedia, Art, Audio, IT Marketing, Community Management, Production, Creativity, Simulation, entertainment, and Location-based entertainment"
ROAR,http://www.roar.la,,Entertainment,11-50 employees,"Beverly Hills, California",Privately Held,2000, ,-32.088862,115.942433, 
Matchbox Pictures Pty Ltd,http://www.matchboxpictures.com,,Entertainment,11-50 employees,"Sydney, New South Wales",Partnership,2008, , , ,"Feature Films, Television - Children's, Television - Comedy, Television - Drama, Documentaries, Factual TV Series, and Online Content"
Ticketek Australia,http://www.ticketek.com.au,,Entertainment,201-500 employees,,Public Company,1979, , , , 
Village Roadshow Theme Parks,http://www.villageroadshow.com.au,,Entertainment,"1,001-5,000 employees","Oxenford Gold Coast, Queensland",Public Company,, , , , 
Ardent Leisure Group,http://www.ardentleisure.com,,Entertainment,"5,001-10,000 employees","North Sydney, New South Wales",Public Company,2009, ,-35.257242,149.131659,"Leisure and Entertainment, Tourism, Bowling, Theme Parks, and Marinas and Boating"
TEG Pty Ltd,http://www.t-e-g.com.au/,,Entertainment,"501-1,000 employees","Sydney, New South Wales",Privately Held,,"175 Liverpool St, Sydney, New South Wales  AU",-33.877169,151.210637, 
Michael Cassel Group,http://www.michaelcassel.com,61 2 8006 1334,Entertainment,11-50 employees,"Potts Point, NSW",Privately Held,1995,"46A Macleay Street, Suite 4.07, Potts Point, NSW 2011, AU",-33.86586,151.226254,"Live Entertainment, Musical Theatre, Theatre, Concerts, Production, Major Events, Management, and International Touring"
Deluxe Australia,http://www.bydeluxe.com,,Entertainment,51-200 employees,"Sydney, NSW",Privately Held,2006,"Level 5, 6 Eden Park Drive, Macquarie Park, Sydney, NSW 2113, AU",-33.786093,151.131373,"Theatrical Distribution, Mastering, Digital Distribution, Localisation, DFX, Subtitling, Dubbing, Closed Captions, and Scale and Volume-Deluxe offers the largest capacity and the deepest capability to meet and tailor our service to your needs"
Etihad Stadium,http://www.etihadstadium.com.au,,Entertainment,51-200 employees,"Docklands, VIC",Privately Held,1999,"740 Bourke Street, Docklands, VIC 3008, AU",-37.818249,144.948515,"Sports and Entertainment Venue, Functions and Conferences, Underground Car Park for 2,500, Venue for Hire, Hospitality, Corporate Entertainment, and Membership products"
RAC Arena,http://www.racarena.com.au,08 6365 0700,Entertainment,"1,001-5,000 employees","Perth, WA",Privately Held,2012,"700 Wellington Street, Perth, WA 6000, AU", , ,"Concert Venue, Events, Sport Venue, Private Events, Arena, Entertainment, and Live Music"
Village Cinemas Australia,http://www.villagecinemas.com.au,,Entertainment,"5,001-10,000 employees",,Public Company,,AU, , , 
Babylon Entertainment LLC, ,,Entertainment,2-10 employees,,Self-Employed,, , , , 
WYNCITY Bowl & Entertainment,http://www.wyncity.com.au,,Entertainment,11-50 employees,"Point Cook, Vic",Privately Held,1986,"36 Wallace Avenue, Point Cook, Vic 3030, AU", , , 
Plaiidium Entertainment, ,,Entertainment,2-10 employees,"Hervey Bay, Qld",Sole Proprietorship,2020,"Hervey Bay, Qld 4655, AU", , , 
Exclusive Entertainment, ,,Entertainment, ,,,, ,-37.773357,145.362086, 
Nickelodeon Australia,http://trade.nick.com.au/,,Entertainment,51-200 employees,"East Sydney, NSW",Privately Held,1995,"Ground Floor, 4 - 16 Yurong St, East Sydney, NSW 2010, AU",-33.868633,151.209421, 
Perth Festival,http://www.perthfestival.com.au,,Entertainment,51-200 employees,"Crawley, Western Australia",Nonprofit,1953,"3 Crawley Avenue, Crawley, Western Australia 6009, AU",-31.979921,115.819948,"International Arts Festival, Theatre, Circus, Dance, Contemporary Music, Classial Music, Lotterywest Films, Visual Arts, Perth Writers Week, and Free and Spectacular"
Le Mans Entertainment,http://www.lemansentertainment.com.au/,387878741,Entertainment,51-200 employees,"Melbourne, Victoria",Privately Held,1990,"11-55 Waterview Close, Melbourne, Victoria 3175, AU", , , 
Pestily Entertainment Pty Ltd,http://www.pestily.com,,Entertainment,2-10 employees,,Privately Held,2020,"Adelaide,   AU",-34.929075,138.602578, 
Funlab Pty Ltd ,http://fun-lab.com,,Entertainment,"1,001-5,000 employees","Abbotsford, VIC",Privately Held,2001,"90-94 Nicholson Street, Abbotsford, VIC 3067, AU",-37.806055,144.996842, 
TEG DAINTY,http://www.tegdainty.com,,Entertainment,11-50 employees,"Southbank, Victoria",Privately Held,,"-, Southbank, Victoria 3006, AU",-37.825243,144.960278,TEG DAINTY has been producing live entertainment across Australasia since the early 1970s and was recognised by the highly acclaimed SportBusiness International Magazine as one of world’s 20 most influential promoters and recently ranked by Billboard Magazine as the 5th largest promoter in the world.
TEG Live Pty Ltd,http://www.teglive.com.au,,Entertainment,11-50 employees,"Sydney, NSW",Privately Held,, , , ,"Entertainment, Corporate Hospitality, Touring, Live Events, Concerts, and Exhibitions"
Studio 100 Group,https://www.studio100group.com,,Entertainment,"1,001-5,000 employees",,Public Company,1996, ,-37.98296,145.03465,"media distribution, media production, family and children entertainment, rights distribution, licensing, animation studio, Entertainment, digital media, movies, consumer products, theme parks, television, live entertainment, music, stage plays, studios, apps, gaming and toys, publishing, studio operations, and tv shows/series"
Made Up Stories, ,,Entertainment,11-50 employees,,Privately Held,2017, ,-37.564784,143.884148, 
Talentonline Entertainment Network,http://www.talentonline.com.au,,Entertainment,2-10 employees,,Privately Held,1995, , , ,"Corporate themed events and theme parties, Las Vegas nights, and small to medium sized business parties."
Franchise Entertainment Group,http://fegroup.com.au,,Entertainment,"1,001-5,000 employees","Sydney, New South Wales",Privately Held,,"1 Rider Blvd, Sydney, New South Wales 2138, AU",-33.868633,151.209421, 
Luminous Entertainment Australia,http://www.luminousentertainment.com.au,61248722222,Entertainment,2-10 employees,"Mittagong, NSW",Privately Held,2011,"Unit 7, 8 Davy Street , Mittagong, NSW 2576, AU",-34.455134,150.448134,"Lighting, Vision, Sound, Corporate Events, Weddings, Theatre, Installation, and Set Electrics"
David Atkins Enterprises,http://www.daeglobal.com,,Entertainment,11-50 employees,"Manly, New South Wales",Privately Held,1983, ,-37.79186,145.093211,"Events, Ceremonies, Theatre, Productions, Expos, Arena Spectaculars, Corporate Events, and Entertainment"
ZONE BOWLING,http://www.zonebowling.com/,,Entertainment,"1,001-5,000 employees","Sydney, New South Wales",Privately Held,2018,"60 Miller St, Sydney, New South Wales 2060, AU",-33.868633,151.209421,"Entertainment, Bowling, Laser Tag, Arcades, Kids Birthday Parties, Corporate Event Venue, School Holiday Activities, Team Buiding Venue, Teen Birthday Parties, Work Christmas Party Venue, League Bowling, Food & Beverage, EOFY Event Venue, Family Entertainment, School & Youth Groups, Fundraising Event Venue, Gift Cards, Adult Birthday Parties, Ten Pin Bowling, and Work Function Venue"
Qudos Bank Arena,http://www.qudosbankarena.com.au,02 8765 4321,Entertainment,"501-1,000 employees","Sydney Olympic Park, New South Wales",Public Company,1999,"19 Edwin Flack Ave, Sydney Olympic Park, New South Wales 2127, AU", , ,"Entertainment, Business Events, Hospitality, Functions, Broadcast Media, Venue Management, Live Events, Sports, and Music"
Humphrey B. Bear Entertainment Pty Ltd,http://www.humphreybbbear.com,,Entertainment,11-50 employees,"OXENFORD, Queensland",Privately Held,,"Village Roadshow Studios, Entertainment Road, OXENFORD, Queensland 4210, AU",-27.912218,153.254537, 
Connect Entertainment,http://www.connectentertainment.com.au/,,Entertainment,2-10 employees,"Gisborne, Victoria",Privately Held,2007,"PO Box 980, Gisborne, Victoria 3437, AU",-37.501598,144.546684, 
Templar Entertainment,http://www.templarfilms.com.au,,Entertainment,2-10 employees,,Privately Held,,"2010, AU",-33.88258,151.214917, 
Risque Entertainment,http://risque-entertainment.com.au,,Entertainment, ,"Welland, SA",,, , , , 
Custom Entertainment Solutions,http://www.c-e-solutions.com.au,407825269,Entertainment,2-10 employees,"Officer, Victoria",Privately Held,2018,"1 Norma Cres, Officer, Victoria 3809, AU",-38.069861,145.424177,"Repairs, Stage Lighting, LED Screens, Consumables, Custom Cables, Custom Builds, Power Design, LED Fixtures, Electronics, Studio Lighting, Data Cables, Power Cables, Accessories, LED Wall, LED Wall Repairs, and LED Wall Installs"
"Bytecraft Entertainment Pty, Ltd.", ,,Entertainment, ,"Alexandria, NSW",,, , , , 
Performance Entertainment Ltd,http://www.performance-entertainment.com,,Entertainment,11-50 employees,,Sole Proprietorship,1990, , , , 
C.B.D ENTERTAINMENT,http://fb.me/CBDESydney,,Entertainment,0-1 employees,http://fb.me/CBDESydney,Sole Proprietorship,2010,"7 williams  parade, dulwich hill , nsw 2203, AU",-33.904601,151.136244,"dance , producstion , casting, and choreography"
Verve Entertainment International,http://verveentertainment.com,,Entertainment, ,"Myocum, New South Wales",,,"1A Mullumbimby Rd, Myocum, New South Wales 2481, AU",-28.574329,153.529859, 
Everyman Entertainment,http://www.everymanentertainment.com.au,,Entertainment,2-10 employees,,Privately Held,,AU, , , 
ErosSTX,http://erosstx.com,,Entertainment,201-500 employees,,Public Company,2020, , , ,"Production and Global Distribution of Film, Television, Streaming, and other Digital Content"
Jaybees Entertainment,http://www.jaybees.com.au,,Entertainment,2-10 employees,"Sanctuary Point, NSW",Sole Proprietorship,1990,"79 The Park drive, Sanctuary Point, NSW 2540, AU",-35.099103,150.619319, 
Showbiz,http://www.showbiz.com.au,,Entertainment,11-50 employees,"Paddington, NSW",Privately Held,1982,"120B Underwood St, Paddington, NSW 2023, AU",-33.886133,151.230751,"Ticketing, Online Marketing and Retailing, and Travel packaging"
Fortress Australia,http://fortressmelbourne.com,,Entertainment,11-50 employees,"Melbourne, Victoria",Privately Held,2018,"26 Caledonian Ln, Melbourne, Victoria 3000, AU", , ,"esports, entertainment, video games, RPG, restaurant, and live events"
Universe,http://www.universe.com,,Entertainment,51-200 employees,,Privately Held,2011, ,-34.876634,138.619584,"Events, Ticketing, Technology, and Software"
Rideon Entertainment,http://rideon.com.au,,Entertainment, ,,,, ,-19.55592,127.662173, 
Omni Entertainment,http://omnientertainment.com.au,,Entertainment, ,,,, ,-19.55592,127.662173, 
Z Entertainment,http://www.clubfundraiser.com.au,402277217,Entertainment,2-10 employees,"Perth, Western Australia",Sole Proprietorship,2017,"King St, Perth, Western Australia 6000, AU",-31.960773,115.834088, 
Soma Entertainment,http://somaentertainment.com,,Entertainment, ,,,, ,-37.767483,144.961852, 
MRA Entertainment Group Pty,http://www.mraentertainment.com,,Entertainment,2-10 employees,"Sydney, New South Wales",,, , , , 
Wizz Entertainment,http://thewizz.com.au,,Entertainment,0-1 employees,,Self-Employed,,"4000, AU",-27.465014,153.023396, 
Critical Hit Entertainment,https://ael.org.au,423956623,Entertainment,2-10 employees,"Barangaroo, New South Wales",Privately Held,2018,"Barangaroo Ave, Barangaroo, New South Wales 2000, AU",-33.860378,151.201571,"Esports, Events, Live Broadcast, Event Production, Event Management, and Event Planning"
Pico Play,http://www.pico-play.com,07 5688 1050,Entertainment,51-200 employees,"Gold Coast, Queensland",Public Company,2016,"Gold Coast, Queensland 4211, AU",-28.017366,153.42725,"theme park, water park, zoo, aquarium, masterplanning, show production, themed environments, artificial rockwork, design, attractions, family entertainment centre, entertainment, concept design, creative design, sculptures, theming, themed fabrication, art direction, model making, architectural design, and Amusement Parks"
Circa Contemporary Circus,http://www.circa.org.au,+61 7 3852 3110,Entertainment,11-50 employees,,Nonprofit,2004,"Level 3, 420 Brunswick Street, Fortitude Valley,  4006, AU",-27.459481,153.036949,"Circus and acrobatics, Circus training, Festivals performances, Corporate entertainment, Theatrical performances, Artistic direction, Circus skills workshops, Major events, Touring, and Special commissions"
COLLUM ENTERTAINMENT LIMITED, ,,Entertainment,11-50 employees,,,, , , , 
Larrikins Entertainment,http://www.larrikinsentertainment.com,,Entertainment,2-10 employees,"Bathurst, NSW",Sole Proprietorship,,"Bathurst, NSW 2795, AU",-33.417961,149.576458,"Kids Party Entertainers, Roving Entertainers, and Corporate Events"
VB ENTERTAINMENT LTD, ,,Entertainment,2-10 employees,,,, ,-37.813827,144.966517, 
Pistachio Entertainment,http://pistachioentertainment.com,,Entertainment, ,,,, ,-19.55592,127.662173, 
Moncrieff Entertainment Centre,http://moncrieff-bundaberg.com.au,,Entertainment, ,"Bundaberg, Queensland",,, ,-19.55592,127.662173, 
SJH Entertainment,http://sjhentertainment.com.au,,Entertainment, ,,,, ,-19.55592,127.662173, 
Australian Entertainment Services, ,,Entertainment, ,"Fitzroy, Victoria",,, ,-34.564954,150.369919, 
Flatout Entertainment,http://flatoutentertainment.com.au,,Entertainment, , , , , , , , 
Executive Entertainment Australia,http://www.tiajordan.com.au,,Entertainment,2-10 employees,"Manly West, Queensland",Privately Held,2016,"30 Mackerel St, Manly West, Queensland 4179, AU",-27.473851,153.16766, 
ANJ Entertainment,http://anjentertainment.com.au,,Entertainment, ,,,, ,-19.55592,127.662173, 
Evotique entertainment,http://evotiqueentertainment.com.au,,Entertainment, ,"Southport, Queensland",,, ,-19.55592,127.662173, 
IDJS Entertainment,http://idjs.com.au,,Entertainment, ,"Melbourne, Victoria",,, ,-19.55592,127.662173, 
Geelong Entertainment Services,http://geelongentertainment.com.au,,Entertainment, ,"Geelong, Victoria",,, ,-34.564954,150.369919, 
FJ Entertainment,http://fjentertainment.com.au,,Entertainment, ,,,,AU, , , 
Connect Entertainment Pty Ltd,http://connectentertainment.com.au,,Entertainment, ,,,, , , , 
WooHoo Entertainment,http://woohooentertainment.com.au,,Entertainment, ,"Ingleburn, New South Wales",,, ,-19.55592,127.662173, 
Be Amazed Entertainment,http://missdonnatheclown.com.au,,Entertainment, ,,,, ,-37.778011,144.851, 
Ashayein Entertainment & Events Pty Ltd, ,,Entertainment,2-10 employees,,Privately Held,,"Melbourne,   AU",-37.825071,144.978682, 
AwesomeX Entertainment,http://awesomex.com.au,,Entertainment, ,,,, ,-19.55592,127.662173, 
Lippsinc Entertainment,http://lippsinc.com.au,,Entertainment, ,"Rose Bay, New South Wales",,, ,-19.55592,127.662173, 
DV8 ENTERTAINMENT LTD,http://www.dv8entertainment.net,,Entertainment,2-10 employees,,,, , , , 
Shaped Entertainment, ,,Entertainment,11-50 employees,,Self-Employed,, ,-19.300616,146.761472, 
Elsewhere Entertainment,http://www.elsewhere.website,,Entertainment,2-10 employees,"Neutral Bay, New South Wales",Self-Employed,,"66 Bent St, 8, Neutral Bay, New South Wales 2089, AU", , , 
Trivium Entertainment,https://triviumentertainment.com/,,Entertainment,2-10 employees,,Sole Proprietorship,,"Melbourne,   AU",-37.825071,144.978682, 
Krossfire Entertainment,http://krossfireentertainment.com,,Entertainment, ,,,, ,-19.55592,127.662173, 
Chenard Entertainment,http://chenardentertainment.com,,Entertainment, ,,,, ,-19.55592,127.662173, 
Any Entertainment,http://anyentertainment.com.au,,Entertainment, ,"North Boambee Valley, New South Wales",,, , , , 
Allegory Entertainment &,http://allegory-ent.com,,Entertainment, ,"Melbourne, Victoria",,, ,-19.55592,127.662173, 
Hoyts Entertainment Quarter, ,,Entertainment, ,"Moore Park, New South Wales",,, ,-33.892764,151.227313, 
Famous Entertainment, ,,Entertainment,2-10 employees,,Self-Employed,,"Gold Coast,   AU",-28.017366,153.42725, 
HIBIKI ENTERTAINMENT LIMITED, ,,Entertainment,2-10 employees,,,, , , , 
MAMI Entertainment,http://mamientertainment.com,,Entertainment, ,,,, ,-33.872043,151.227716, 
KJS Entertainment,http://kjsentertainment.com.au,,Entertainment, ,,,, ,-26.620749,152.964206, 
Xcel Entertainment, ,,Entertainment, ,,,, ,-33.92069,151.256445, 
Bowens Entertainment,http://bowensentertainment.com.au,,Entertainment, ,"Lavington, New South Wales",,, , , , 
Macarthur Entertainment,http://macarthurentertainment.com.au,,Entertainment, ,,,, ,-35.39761,149.155185, 
Streamotion,https://streamotion.com.au/,,Entertainment,201-500 employees,"Artarmon, New South Wales",Privately Held,2020, , , , 
Visual Entertainment Group Pty Ltd., ,,Entertainment,11-50 employees,"Port Melbourne, VIC",,, , , , 
Vavachi Entertainment,http://www.vavachi.com.au,,Entertainment,11-50 employees,,Privately Held,, ,-19.55592,127.662173, 
DWM Entertainment,http://www.dwmentertainment,,Entertainment,2-10 employees,"Brisbane, QLD",Sole Proprietorship,2016,"North Lakes, Brisbane, QLD 4509, AU",-27.469309,153.026164, 
Pure Entertainment DJ, ,,Entertainment, ,,,, ,-19.16133,146.849662, 
Icon Film Distribution,http://www.iconmovies.com.au,,Entertainment,11-50 employees,"Sydney, NSW",Public Company,,"Newtown, Sydney, NSW  AU",-33.899678,151.177905, 
TEEG,http://www.teeg.com,,Entertainment,"1,001-5,000 employees",,Privately Held,2017, ,-23.03333,115.56667,"Family Entertainment Centre, Edutainment, Kids Birthday Parties, FEC, Out-of-home Entertainment, School Holiday Activities, Group & Corporate Events, Family Fun Centre, Family Amusement Centre, Attractions, Arcade Games, Bowling, Laser Tag, Team Building Venue, Corporate Parties, Gift Cards, Community & Group Events, Multi-attraction Indoor Centre, Children's Entertainment Centers, and Redemption Games"
