Company Name,Website,Phone,Industry,Company Size,HQ,Type,Founded,Location,Latitude,Longitude,Specialities
"Precinct, a Prosegur initiative", ,,Banking,11-50 employees,,Privately Held,,"Sydney,   AU",-33.868633,151.209421, 
Dandenong Ranges Community BankGroup,https://www.bendigobank.com.au/upwey,397541200,Banking,11-50 employees,"Upwey, Vic",Public Company,1998, , , ,"Home Loans, Business Loans, Wealth Strategies, Retirement Strategies, Investment Loans, and Student Banking"
Resimac Asset Finance,https://theiagroup.com.au,,Banking,11-50 employees,"Sydney, NSW",Public Company,,"Level 3, 28 O'Connell St, Suite 303, Sydney, NSW 2000, AU",-33.865708,151.209279, 
Tradies Finance,http://www.tradiesfinance.com.au,1300 556 840,Banking,2-10 employees,"Moorabbin, Victoria",Privately Held,2004,"614 South Rd, Moorabbin, Victoria 3189, AU",-37.937232,145.065368,"Finance for Tradespeople, Finance for Self Employed, Finance for SME, Home loans, Leasing, Business loans, Cash-flow finance, Construction loans, Investment loans, Equipment Finance, Vehicle Finance, and Insurance"
Affiliate Finance & Property,http://www.affili8.com.au/,,Banking,2-10 employees,"Carlton, VIC",Privately Held,2012,"115 Drummond Street, Carlton, VIC 3053, AU",-37.803958,144.967617,"Finance Broking, Property Investing Strategies, Finance Structures, and Lending to SMSF's"
Behaviour,http://www.behaviour.ai,,Banking,2-10 employees,"Sydney, NSW",Privately Held,2017,"Suite 504, 37 Bligh St, Sydney, NSW 2000, AU",-33.8659,151.209637, 
eMatters Payment Gateway,http://www.eMatters.com.au,,Banking,51-200 employees,"Melbourne, VIC",Privately Held,1999, , , ,Internet Payment Solutions
SCU-,http://sydneycu.com.au,,Banking, ,"MASCOT, New South Wales",,, ,-33.871954,151.205805, 
Premium Broker Pty Limited,http://www.PremiumBroker.com.au,,Banking,2-10 employees,"Willoughby, NSW",Privately Held,2002,"549 Willoughby Rd, Willoughby, NSW 2068, AU",-33.806422,151.199646,"Home Loans, Insurance, Leasing, Wealth, Conveyancing, Self Managed Super Funds, Property Investment, and Full MFAA Member"
Unimoni Exchange LLC,http://unimoni.com,,Banking, ,,,,"Level 4/1 Wentworth St, Parramatta,  2150, AU",-33.819631,151.005054, 
Intech Bank,http://www.intechbank.com.au,,Banking,11-50 employees,"Sydney, NSW",Privately Held,1962, ,-38.382704,142.233177,"Retail Banking, Term Deposits, and Home Loans"
ZARA RETAIL LIMITED,http://www.zara.com/in/,,Banking,11-50 employees,,,, ,-28.3163,153.2585, 
Suncorp Bank,http://suncorpbank.com.au,,Banking, ,"Nsw, Victoria",,, ,-24.866117,152.349547, 
Ladbroke Financial Services Pty Ltd,http://www.carsandfinancedirect.com.au,,Banking,11-50 employees,"Underwood, Queensland",Public Company,1996,"3/126 Compton Road, Underwood, Queensland 4119, AU",-27.609606,153.111292,Car Finance - Car Loan
BANK INSTRUMENTS,http://tradefinanceindia.com,9212155400,Banking,2-10 employees,,Self-Employed,1983, ,-38.148291,144.365201,Banking Instruments
Attain Loan & Mortgage Services,http://www.attainloans.com.au,(03) 9069 6141,Banking,2-10 employees,"South Yarra, VICTORIA",Privately Held,2019,"Suite 209, 9-11 Claremont Street, 209, South Yarra, VICTORIA 3141, AU",-37.840187,144.993274,"Personal Loans, Home Loans, Investment Loans, Vehicle Finance, Mortgages, and Customer Service"
Rethink Financing,http://www.rethinkfinancing.com.au,,Banking,2-10 employees,"Bondi Junction, NSW",Privately Held,2017,"Tower 2, Level 22, 101 Grafton Street, Bondi Junction, NSW 2022, AU",-33.895884,151.249252,"Home Loans, Personal Loans, and Asset Finance"
Traditional Credit Union (TCU),http://tcu.com.au,,Banking,51-200 employees,,Privately Held,1994,"9 Rowling Street, Casuarina, NT 0810, AU",-12.374397,130.881577, 
LLL Australia (Lutheran Laypeople’s League),https://www.lll.org.au,1800 556 457,Banking,11-50 employees,"North Adelaide, South Australia",Nonprofit,1921,"175 Archer St, North Adelaide, South Australia 5006, AU",-34.908191,138.594739,Saving accounts and Charitable
UTS Banking & Finance Society, ,,Banking,11-50 employees,"Sydney, NSW",Nonprofit,,"UTS, Building 8, 14/28 Ultimo Rd, Ultimo , Sydney, NSW 2007, AU",-33.868633,151.209421, 
Commercial Lending Excellence (CLE),http://www.clefinance.com.au,03 9989 2233,Banking,2-10 employees,"Glen Iris, Victoria",Privately Held,2019,"1430 Malvern Rd, Glen Iris, Victoria 3146, AU",-37.853627,145.04396, 
Creditline Pty Ltd T/AS CREDITLINE AUSTRALIA,http://www.creditline.com.au,398359700,Banking,2-10 employees,"CAMBERWELL, VIC",Privately Held,1979,"First Floor 1100 Toorak Road, CAMBERWELL, VIC 3124, AU",-37.840615,145.073681,"Equipment Finance, Car Finance, Plant Finance, Commerical Hire Purchase, Leasing, Rental, Business Finance, Professional Finance, Finance for Tradies, software finance, IT finance, and Chattel Mortgage"
Banana Coast Credit Union,http://www.bcu.com.au/,,Banking, ,"MACLEAN, NSW",,,"231 River St, MACLEAN, NSW 2463, AU",-29.456669,153.197139, 
Loan Base,http://loanbase.com.au,,Banking,2-10 employees,"Surry Hills, NSW",Privately Held,2016,"Suite 510, 46-56 Kippax Street, Surry Hills, NSW 2010, AU",-33.884622,151.20976,"Home Loans, Commercial Loans, Asset Finance, Car Finance, Business Loans, Construction Loans, SMSF Loans, Lo-Doc Loans, and Credit Impaired Loans"
WARWICK CREDIT UNION LTD,http://www.wcu.com.au,1300 724 433,Banking,11-50 employees,"Warwick, QLD",Public Company,1970, ,-28.214843,152.033016, 
LoanCloser Technologies,http://www.loancloser.com.au,,Banking,11-50 employees,"Frankston, VIC",Privately Held,2004,"Suite 6 Level 1, 108 Young Street, Frankston, VIC 3199, AU",-38.144483,145.124249, 
Prefect Agencies,http://www.prefectagencies.com.au,,Banking,11-50 employees,"Archerfield, Queensland",Public Company,1988,"Stockwell Pl, Archerfield, Queensland 4108, AU",-27.566371,153.019547,"Coin & Note Clearance Systems, Industrial scales and labelling applications, Process control systems, Cash handling equipment, Automated Payment Solutions, and Note Counters"
First Option Bank Australia,https://firstoptionbank.com.au/,1800 362 265,Banking,11-50 employees,"Melbourne, Victoria",Public Company,1965,"Head Office - 6/437 St Kilda Road, Melbourne, Victoria 3004, AU",-37.839204,144.977074, 
IBA Group,http://www.ibagroup.com.au,,Banking,11-50 employees,"Sydney, NSW",Privately Held,2012,"6 - 8 Auburn Road, Auburn, 6 - 8 Auburn Road., Sydney, NSW 2144, AU", , ,finance and Islamic Finance
Loanmarket Epping,https://www.loanmarket.com.au/sam-lucci,,Banking,2-10 employees,"Epping, VIC",Self-Employed,,"10/66 Willandra Dr, Epping, VIC 3076, AU",-37.644632,145.010276, 
Select Personnel,http://www.selectpersonnel.com.au,,Banking,2-10 employees,,Privately Held,, ,-37.985053,145.212854, 
Capital One Funds Management Pty Ltd, ,,Banking, ,,,,"Sydney,   AU",-33.868633,151.209421, 
South West Slopes Credit Union Limited,https://www.swscu.com.au,,Banking,11-50 employees,"Young, NSW",Public Company,, ,-33.797418,151.142756, 
SHAKE Finance,http://www.shakefinance.com.au,,Banking,2-10 employees,"Adelaide, SA",Sole Proprietorship,2015,"Adelaide, SA 5000, AU",-34.929036,138.600473,"Home Loans, Asset Finance, Investment Property, and Commercial Lending"
Factfin,http://factfin.com,,Banking,2-10 employees,"SYDNEY, NSW",Privately Held,2016,"Level 4, 11 York Street, SYDNEY, NSW 2000, AU",-33.865394,151.205402, 
Emergence Financial Group,http://emergencefg.com,421372934,Banking,2-10 employees,,Privately Held,,"Shop 1/58 Moore St, Footscray,  3011, AU",-37.798553,144.90345, 
Finance and Mortgage Broker,http://www.linkedin.com,,Banking,0-1 employees,,Privately Held,,AU, , , 
Bank of Heritage Isle,https://www.heritageisle.com.au,,Banking,11-50 employees,,Privately Held,,"69 St John Street, Launceston, Tasmania 7250, AU",-41.436581,147.138597, 
Auscoin,https://auscoin.io/,,Banking,2-10 employees,"Melbourne, Vic",Sole Proprietorship,2017,"1071 Doncaster Rd, Melbourne, Vic 3108, AU",-37.825071,144.978682, 
Local Government Finance Authority of South Australia (LGFA),http://www.lgfa.com.au/,,Banking,2-10 employees,"Adelaide, South Australia",,1984,"147 Pirie St, Suite 1205, Adelaide, South Australia 5000, AU", , , 
Central West Credit Union,https://www.cwcu.com.au,,Banking,11-50 employees,"Parkes, New South Wales",,,"269 Clarinda St, Parkes, New South Wales 2870, AU",-33.134861,148.174741,"Home Loans, Car Loans, Personal Loans, Savings Accounts, Term Deposits, Mobile Banking, Financial Planning, and Insurance"
TTO Finance & Mortgage Broking,tel:0882119426,,Banking,2-10 employees,"ADELAIDE, SA",Privately Held,2020,"234 Sturt St, ADELAIDE, SA 5000, AU",-34.933062,138.589924, 
Maleny Credit Union,http://www.mcu.com.au,,Banking,11-50 employees,"Maleny, Queensland",Nonprofit,1984,"28 Maple Street, Maleny, Queensland 4552, AU",-26.758083,152.851725, 
AMP Credit Union, ,,Banking,11-50 employees,,Public Company,, ,-33.797418,151.142756, 
BestExchangeRates.com,http://bestexchangerates.com,,Banking,2-10 employees,,Privately Held,2009,"Sydney,   AU",-33.868633,151.209421,"foreign exchange, currency rate comparison, international money transfers, and travel money"
Asia Pacific Capital Limited,http://www.apcl.net.au,,Banking,51-200 employees,"Melbourne, Victoria",Public Company,2018,"459 Collins St, Level 6 South Tower, Melbourne, Victoria 3000, AU", , , 
CAPE Credit Union,http://www.capecu.com.au/,,Banking,11-50 employees,"Sydney, New South Wales",Public Company,1968, ,-33.797418,151.142756,"Transactional banking and Payment Services, Savings and Investment Accounts, Home Loans, investment Loans, Personal Loans, Financial Planning, Travel and Insurance Services, Online Banking, Telephone Banking, Apple Pay, Android Pay, and Personal Banking"
WALL STREET FINANCIAL SERVICES PTY LTD, ,,Banking,11-50 employees,"Bundall, Queensland",,, , , , 
Telstra Credit Union,http://www.telstracu.com.au,,Banking,11-50 employees,"Sydney, NSW",Public Company,1962, ,-33.797418,151.142756,"Home & Personal Loans, Savings & Investments, Insurance, Financial Planning, Foreign Exchange, and Wealth Solutions"
Responsive Lending,https://responsivelending.com.au,,Banking,2-10 employees,"BUNDOORA, Victoria",Privately Held,2016,"7 SCHOLAR DRIVE, BUNDOORA, Victoria 3083, AU",-37.68524,145.072417,"Personal Finance, Car Loans, Home Loans, and Personal Loans"
WAVETRONICS PTY LTD,http://www.wavetronics.com.au/,,Banking,2-10 employees,"RIVERWOOD, NSW",,, ,-38.094211,144.368721, 
Oula.la,http://oula.la,,Banking,2-10 employees,,Privately Held,2016, , , ,"Payments, Buy Now Pay Later, Installment Payments, Gig Economy, Sharing Economy, Banking, Neobanking, and Paid As You Earn"
Coolalinga & Districts Community Finance Limited,https://www.bendigobank.com.au/branch/nt/coolalinga-districts-community-bank-branch/,08 89834111,Banking,2-10 employees,"Coolalinga, Northern Territory",Public Company,2006,"460 Stuart Hwy, Shop 18 Coolalinga Shopping Centre, Coolalinga, Northern Territory 0839, AU",-19.488357,133.438712, 
Windsor Community Bank Branch of Bendigo Bank,https://bit.ly/Apply_Windsor_Grants,,Banking,2-10 employees,"Windsor, Vic",Privately Held,2000,"111 Chapel Street, Windsor, Vic 3181, AU", , ,"community banking, banking, insurance, customer service, home loans, sponsorship, building better communities, community bank, grants program, and personal loans"
Finteon,http://www.finteon.com,+61 (03) 9900 6426,Banking,11-50 employees,"Melbourne, Vic",Privately Held,2018,"Level 30, 35 Collins Street, Melbourne, Vic 3000, AU",-37.81464,144.972027,"Banking as a Service, Consumption Based Pricing, Community Banks, and Mutual Corporations (Banks)"
COMMONWEALTH BANK OF AUSTRAL, ,,Banking,"10,001+ employees",,,1911, ,-38.382704,142.233177, 
Bit-e - Changing the future of Digital Banking,http://www.bit-e.com.au,,Banking,11-50 employees,"Melbourne, Victoria",Public Company,2017,"Bourke St, Melbourne, Victoria 3000, AU",-37.825071,144.978682,"Banking, Payments, Home Loans, Foreign Exchange, Transactions, Retail Banking, and Business Banking"
Barber & Bunton, ,,Banking,11-50 employees,,Privately Held,,AU, , , 
Fulham Finance,http://fulhamfinance.com.au/,0414 710 251,Banking,2-10 employees,,Privately Held,,"3/290 Blackburn Rd, Doncaster East,  3109, AU",-37.781441,145.16375, 
Penny Finance ,http://www.pennyfinance.com.au,459595999,Banking,2-10 employees,"South Melbourne, Victoria",Self-Employed,2020,"1/190 Coventry St, South Melbourne, Victoria 3205, AU",-37.830663,144.963562,"Home Loans, Finance, Mortgages, Debt Reduction, Debt Consolidation, Refinance, First Home Buyers, Investors, Empowering Women, Financial Independence, Saving Money, Home Buying, Car Finance, and Asset Finance"
Swan Hill Credit Union,http://www.swanhillcu.com.au,,Banking,11-50 employees,"Swan Hill, Victoria",Nonprofit,1963,"42 McCallum Street, P.O Box 1740, Swan Hill, Victoria 3585, AU",-35.338438,143.558528,"Personal banking, Home Loans, VISA debit card, Personal loans, Business banking, Insurance, Financial planning, and Term deposit"
eQuant Consulting,http://www.e-quant.com.au,,Banking,2-10 employees,,Privately Held,,"2065, AU",-33.826167,151.194377, 
Ichthys LNG Pty Ltd.,http://www.inpex.com.au/our-projects/ichthys-lng-project/,,Banking,2-10 employees,,,, , , , 
ATM Serve, ,,Banking,0-1 employees,"MARRICKVILLE, NSW",Public Company,,"9 Rich Street, MARRICKVILLE, NSW 2204, AU",-33.905071,151.164155,"Electronic Banking Solutions, Largest range of ATMs in Australia, In-house technical expertise, 99% up-time maintenance record, and Comprehensive sales, servicing & support"
AxiTrader Forex Trading, ,,Banking, ,,,, , , , 
Agriculture Bank of China,http://au.abchina.com,,Banking, ,,,, ,-38.382704,142.233177, 
bizfundr,http://www.bizfundr.com.au,433306609,Banking,2-10 employees,"Burleigh Heads, Queensland",Privately Held,2019,"11/7 Ramly Dr, Burleigh Heads, Queensland 4220, AU",-28.10332,153.433536, 
Self Managed Super Funding Pty Ltd, ,,Banking,2-10 employees,"MELBOURNE, VIC",Privately Held,, , , , 
Ritz Finance,http://www.ritzfinance.com.au,,Banking,2-10 employees,"Subiaco, WA",Self-Employed,2009,"254 Rokeby Road, Subiaco, WA 6008, AU",-31.952128,115.824295,"Banking, Finance, Corporate Finance, Commercial banking, Ritz Management, Investments, Business analysis, Management Consulting, Credit Analysis, Financial Modeling, and Corporate Advisory"
EXP Financial Group,http://www.expfinancialgroup.com.au/,,Banking,2-10 employees,"Melbourne, VIC",Public Company,2013,"247-255 Drummond Street, Melbourne, VIC 3053, AU",-37.825071,144.978682, 
Platinum Insight,http://www.platinuminsight.com.au/,,Banking,11-50 employees,"Southgate, VictoriA",Privately Held,2005,"Level 3, IBM Tower, 60 City Road, Southgate, VictoriA 3006, AU",-37.014348,143.480452, 
PORT LINCOLN ABORIGINAL HEALTH SERVICE INC,http://www.plahs.org.au/,,Banking,11-50 employees,"Port Lincoln, South Australia",,, ,-34.726578,135.852824, 
Annette Tothill Finance,http://tothillfinance.com.au,420973551,Banking,2-10 employees,,Sole Proprietorship,2011,"180 Binney Rd, Willunga,  5172, AU",-35.249582,138.57236, 
Home Equities,https://www.homeequities.com.au/,,Banking,2-10 employees,"Sydney, NSW",Partnership,2015,"9 Formosa, Drummoyne, Sydney, NSW 4207, AU",-33.854895,151.156966, 
MLS Finance,http://mlsfinance.com.au,02 9635 1888,Banking,11-50 employees,,Privately Held,2017,"Suite 3, Level 2/460 Church St, Parramatta,  2150, AU",-33.814115,151.005457,"Mortgage, Loans, Real Estate, Property, Investment, Property Investment, Home Loans, Finance, Wealth, Retirement, Banking, Refinancing, Business Finance, Debt, Retire, Financial Freedom, Vehicles, Mortgage Broker, Brokerage, Money, Consolidation, Strategy, Commercial Property, investing, First home buyer, family, Super, SMSF, Superannuation, refinance, and property development"
RK Mine Finance,http://www.rkminefinance.com/,,Banking,2-10 employees,,,, ,-28.08428,117.5195, 
Nicheliving Home Loans,http://www.nichelivinghomeloans.com.au,,Banking,11-50 employees,"Perth, wa",Public Company,2015,"1/137 Newcastle street, Perth, wa 6000, AU",-31.947407,115.86269,"Home Loans, Mortgages, and Finance"
Molonglo Financial Services Limited,https://www.bendigobank.com.au/curtin,,Banking,11-50 employees,"Curtin, ACT",Public Company,2002, , , ,"Home Loans, Personal Loans, Insurance, Credit Cards, Everyday Accounts, Term Deposits, Investment Accounts, Financial Planning, Superannuation, Business Banking, Equipment Finance, Foreign Exchange, Community, and Socially Responsible"
PayThat,http://www.paythat.com.au,,Banking,11-50 employees,"West Pennant Hills, New South Wales",Privately Held,2017,"18 Star Cres, Suite 1, West Pennant Hills, New South Wales 2125, AU",-33.735771,151.056721, 
Blockchain Capital Markets Group,http://www.bcmg.io,,Banking,11-50 employees,"Brisbane City, Queensland",Privately Held,2018,"155 Queen St, Brisbane City, Queensland 4000, AU",-27.469556,153.025893, 
ZM Financial,http://www.zmfinancial.com.au,,Banking,2-10 employees,,Self-Employed,,"Brisbane,   AU",-27.469309,153.026164, 
Lysaght Credit Union,http://lysaghtcu.com.au,,Banking,11-50 employees,"Wollongong, New South Wales",Nonprofit, ,"13 Auburn St, Wollongong, New South Wales 2500, AU",-34.427375,150.889757, 
Zimba Financial Services,http://www.zimbafinancialservices.com,,Banking,2-10 employees,"Melbourne, Victoria",Public Company,2016,"PO BOX 296, Pascoe Vale South, Melbourne, Victoria 3044, AU",-37.825071,144.978682,"Standard variable & fixed rate loans, Investment Loans, First Home Buyers, Commercial Loans, Construction Loans, Asett Finance, and Insurance"
Aussie Loans,http://aussieloans.com.au,,Banking, ,"Queensland, Queensland",,, ,-27.415138,153.050796, 
Aion Pacific ,http://www.aionpacific.com,(02) 8020 5859,Banking,2-10 employees,"SYDNEY, NSW",Privately Held,2018,"Level 9, 60 Pitt Street, SYDNEY, NSW 2000, AU",-33.864414,151.209066,Banking and Finance
The Futurus Group,http://futurus.com.au/,,Banking,51-200 employees,"North Sydney, NSW",Privately Held,1989, ,-38.483093,142.967851,"Mortgage Broking, Mortgage Broking Training, and Credit Licensing"
Mega International Commercial Bank Co. Ltd. (Sydney Branch), ,,Banking, ,"Sydney, New South Wales",,1997, , , , 
ConnXsyn,tel:0430 015 260,,Banking,2-10 employees,"Collingwood, Victoria",Privately Held,2017,"23 Gipps St, Suite 205, Collingwood, Victoria 3066, AU",-37.80477,144.988174, 
Beyond Payment Systems Pty Ltd,https://beyondpaymentsystems.com.au/,,Banking,2-10 employees,"Brisbane, QLD",Privately Held,2014,"Level 4 , 11 Finchley Street , Milton, Brisbane, QLD 4064, AU", , ,Merchant Banking and Payment Processing Fee Specialist
Fintech Hub,http://fintechhub_au,,Banking,11-50 employees,"Sydeny, NSW",Privately Held,2017,"155 Clarence Street, Sydeny, NSW 2000, AU",-33.868039,151.204832, 
CurrencySpot,http://currencyspot.com.au,,Banking,2-10 employees,"Sydney, New South Wales",Public Company,2015,"50 Bridge Street, Level 2 - Stone and Chalk, Sydney, New South Wales 2000, AU",-33.862788,151.211517,"Currency, foreign exchange, Software, and Payments"
SMEBank in a Box,http://smebank.technology,,Banking,2-10 employees,"Sydney, NSW",Privately Held,,"Level 13 / 28 O'Connell Street, PayNow Office, Sydney, NSW 2000, AU",-33.865708,151.209279, 
Treadstone 71 Private Equity,http://www.treadstone71.com.au,,Banking,0-1 employees,"Toowong, QLD",Partnership,2010,"52A Jephson St, Toowong, QLD 4066, AU",-27.48444,152.99098, 
Australian Loan House,http://www.australianloanhouse.com.au,,Banking,2-10 employees,,Privately Held,2015,"Sydney,   AU",-33.868633,151.209421,"Residential Lending, Personal Loans, Debt Consolidation, Investment & Construction Loans, First Home Buyers, Low Doc Loans, Non-conforming Lending, and Insurances"
Smartline Mortgage Advisers,http://www.mortgageforce.com.au/michaelr,,Banking,0-1 employees,,Self-Employed,,"6023, AU",-31.832909,115.775898, 
Akuna,https://www.akuna.money/,,Banking,2-10 employees,"Sydney, NSW",Privately Held,2016,"608 Harris St, Ultimo, Sydney, NSW 2007, AU",-33.88043,151.200358, 
Sunraysia Home Loans,http://www.sunraysiahomeloans.com.au,,Banking,2-10 employees,"Mildura, Vic",Sole Proprietorship,2016,"128 Lime Avenue, Mildura, Vic 3500, AU",-34.186646,142.156871,"Mortgage Lending, Home Loans, Vehicle Finance, and Construction Loans"
Flycke,http://www.flycke.com,,Banking,2-10 employees,,Privately Held,2009,"2009, AU",-33.86901,151.19353,"billing, bill payment, payment processing, ecommerce, internet banking, bpay, billing, merchant, and online payment"
Suncorp-Metway Limited,http://suncorpmetway.com,,Banking, ,"Brisbane, Queensland",,, ,-27.422105,153.034055, 
BDCU,http://bdcu.com.au,,Banking, ,"Bowral, New South Wales",,, ,-34.482383,150.416958, 
Cash Train,http://cashtrain.com.au,,Banking, ,,,, ,-38.148979,144.359098, 
Tradecentrix, ,,Banking, ,,,,AU, , , 
ULTRAPHARM LIMITED, ,,Banking, ,,,, ,-34.60154,144.812997, 
AquireFX,https://aquirefx.com,,Banking,2-10 employees,"Sydney, NSW",Privately Held,2017,"Level 13, 99 York Street, Sydney, NSW 2000, AU",-33.870154,151.205802,"foreign exchange, Money transfers, Fintech, Finance, Currency exchange, P2P, peer-to-peer, technology, tech, startup, and FX"
Crypto Madness,https://www.facebook.com/cryptomadnessorg/,,Banking,0-1 employees,"Brisbane, QLD",Sole Proprietorship,,"Brisbane, Brisbane, QLD 4000, AU", , , 
Central Mortgage Broker,https://www.centralmortgagebroker.com.au,03 9717 5993,Banking,2-10 employees,"Doreen, Victoria",Privately Held,2007,"101 Hazel Glen Dr, Doreen, Victoria 3754, AU",-37.587096,145.126177,"Mortgage Lending, Commercial Lending, Investment Lending, SMSF Lending, Car Finance, Equipment Finance, Refinancing, and Mortgage Mentoring"
RI Group China,http://www.rigroupltd.com,,Banking,51-200 employees,,Privately Held,, ,-35.19296,138.48172, 
SmallStash,http://www.smallstash.com.au,,Banking,2-10 employees,"Millers Point, NSW",Educational Institution,2017,"Bond store 3, 30 Windmill Street, Millers Point, NSW 2000, AU",-33.868125,151.207973,Financial literacy and Banking education
Risk Consultants Australia,http://www.riskconsultantsaustralia.com.au,,Banking,2-10 employees,,Privately Held,,"2000, AU",-33.868125,151.207973, 
Rams Home Loans, ,,Banking, ,"Sydney, New South Wales",,, ,-37.850544,145.095412, 
Associated Kiln Driers Pty Ltd,http://www.akd.com.au/,,Banking,2-10 employees,"City of Colac, Victoria",,, ,-33.912298,151.103278, 
LoanX Pty Ltd,http://www.loanx.com.au,,Banking,11-50 employees,,Privately Held,, ,-38.094211,144.368721, 
BOQ Broker,http://boq.com.au/broker,,Banking,"5,001-10,000 employees","Brisbane, QLD",Public Company,,"Brisbane, QLD 4001, AU",-27.469309,153.026164, 
On Point Finance,http://www.onpointfinance.com.au,,Banking,2-10 employees,,,2015,AU, , ,"lending, property purchases, loan review, loan restructure, refinance, and strategy"
Trader Cobb,http://tradercobb.com,,Banking,2-10 employees,"Sydney, NSW",Self-Employed,2017,"Sydney, Australia, Sydney, NSW 2010, AU",-33.88258,151.214917, 
Organic Home Loans,http://organichomeloans.com.au,1300103330,Banking,11-50 employees,,Self-Employed,2019,"Shop 1/66 Blaxland Rd, Ryde,  2112, AU",-33.814553,151.106639, 
uBroker Finance Group,http://www.ubroker.com.au,,Banking,11-50 employees,"Melbourne, Victoria",,,"480 Collins St, Melbourne, Victoria 3000, AU",-37.817754,144.957976,"Home Loan, Investment Loan, Construction Loan, Commercial Loan, Development Loan, SMSF Loan, Accredited Broker Mentorship, Broker Training, Business Advisory and Planning, Property Management, and Property Buyer Agent"
Circle,https://getcircle.com.au,,Banking,"10,001+ employees","Surry Hills, NSW",Privately Held,2017,"52 Reservoir Street, Surry Hills, NSW 2010, AU",-33.881015,151.209524, 
Loan Market - Julia Hebb,https://www.loanmarket.com.au/julia-hebb,,Banking,2-10 employees,"Pearcedale, Victoria",Privately Held,2016,"Smiths Ln, Pearcedale, Victoria 3912, AU",-38.201358,145.23453,"Residential Mortgages, Investment Mortgages, Commercial Loans, Insurance, Refinancing, and First Home Buyers"
Loan Market - Benjamin Dennis,http://Www.loanmarket.com.au/benjamin-dennis,,Banking,2-10 employees,"Warragul, Victoria",Privately Held,,"5 Napier St, Warragul, Victoria 3820, AU",-38.161717,145.929111,"Home Loans, Vehicle Finance, and Insurance"
Sprout Finance Co. ,http://sproutfinanceco.com.au,412471415,Banking,2-10 employees,"Melbourne, Victoria",Self-Employed,,"Melbourne, Victoria 3000, AU",-37.813046,144.962398, 
Carrum Downs Financial Services Ltd,http://www.bbl.com.au,,Banking,2-10 employees,,Public Company,,AU, , , 
Abraham Finance,http://abrahamfinance.com.au,(02) 6156 36 65,Banking,2-10 employees,,Sole Proprietorship,2018,"2/55-57 Lathlain St, Belconnen,  2617, AU",-35.239956,149.0634,"Home Financing, Mortgage Broker, Finance Specialist, Refinancing, Lending Specialist, New Home Buyers, and Property Investors"
Indirect Debit,http://www.indirectdebit.com.au,,Banking,2-10 employees,,Privately Held,,"Melbourne,   AU",-37.825071,144.978682, 
Platinum Package Home Loans,http://www.pphl.com.au,448336662,Banking,2-10 employees,"Wantirna South, VIC",Privately Held,2013,"16 Piccadilly Ave, Wantirna South, VIC 3152, AU",-37.864512,145.240274, 
Auto Link Finance Pty Ltd,https://www.autolinkfinance.com.au/,,Banking,2-10 employees,"Hoppers Crossing, VIC",Public Company,2010,"3/4 kilmarnock Court, Hoppers Crossing, VIC 3029, AU",-37.874653,144.726095, 
"E.Sun Commercial Bank, Ltd. (Sydney Branch)", ,,Banking, ,"Sydney, New South Wales",,2015, ,-28.035773,151.982878, 
Q-Risk Strategies,http://blog.q-riskstrat.com,,Banking,2-10 employees,,Privately Held,2010,"Melbourne,   AU",-37.825071,144.978682,"Risk Management, Derivatives, Credit Risk, Quantitative Models, Statistical Modelling, Qualitative and Quantitative Reviews, Basel Models, Stress Testing, Retail Scoring, and PD, LGD, EAD"
G20 Solutions,http://www.g20solutions.com.au/,,Banking,2-10 employees,"Melbourne, Victoria",Sole Proprietorship,2015,"G68 / 601 Lt. Collins Steet, Melbourne, Victoria 3000, AU",-37.825071,144.978682, 
FinanceJobs.io,https://financejobs.io,,Banking,2-10 employees,"Melbourne, Victoria",Privately Held,2019,"Melbourne, Victoria 3000, AU", , , 
Mortgagebiz,http://www.mortgagebiz.com.au/,,Banking,201-500 employees,"Baulkham Hills, NSW",Privately Held,, , , , 
Somethin' Sweet,https://www.instagram.com,,Banking,2-10 employees,"Sydney, Bondi",Public Company,2020,"Sydney, Bondi 2026, AU",-33.89463,151.26748, 
JP Loans,http://www.jploans.com.au/,,Banking,2-10 employees,"Brisbane, Queensland",Public Company,2011,"lvl 2 129 Robinson St, Fortitude Valley, Brisbane, Queensland 4006, AU",-27.458535,153.035375, 
moneyhive,http://www.moneyhive.com.au,420571577,Banking,2-10 employees,"Centennial Park, New South Wales",Privately Held,2017,"53 Moore Park Rd, Centennial Park, New South Wales 2021, AU",-33.890215,151.230747, 
Select Credit Union Limited,http://www.selectcu.com.au,,Banking,11-50 employees,"Sydney Olympic Park, New South Wales",,, ,-33.951711,151.016411, 
Genesisbank,http://genesisbank.io,,Banking,2-10 employees,"Melbourne, Victoria",Privately Held,2018,"101 Collins St, Melbourne, Victoria 3000, AU", , , 
mCD IP Corporation,http://www.mcd-exchange.com,,Banking,2-10 employees,"Melbourne, Victoria",Privately Held,2015, ,-27.62343,152.76067, 
Swapo Money, ,,Banking,2-10 employees,"Sydney, NSW",Partnership,2016, , , , 
Highett Community Financial Services Limited,https://www.bendigobank.com.au/branch/vic/highett-community-bank-branch/,,Banking,2-10 employees,"Highett, VIC",Public Company,,"322-324 Highett Rd, Highett, VIC 3190, AU",-37.949089,145.043479, 
Casade Home Loans Pty Ltd,http://www.cascadehomeloans.com.au,,Banking,2-10 employees,,Privately Held,,"3190, AU",-37.950386,145.03979, 
